"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login Test","3","0","User enters correct login credentials","0"
"0","","0","Login Test","1","0","User is locked out","0"
"0","","0","Login Test","6","0","User enters incorrect login credentials","0"
"0","","0","Login Test","1","0","User keeps the username blank","0"
"0","","0","Products Test","1","0","Logging out from Products page should redirect to Login page","0"
"0","","0","Login Test","1","0","User keeps the password blank","0"
